ITERATION 0 

PARAMS:
-> num_beams:  5 
-> no_repeat_ngram_size:  1 
-> repetition_penalty:  1.5 
-> temperature:  1.0 
-> top_k:  50 
-> top_p:  0.7 
-> max_length:  20 
 

WEIGHT DECAY: 1e-05
LOSS 4.667068958282471 	 ACC 0.25 
LOSS 5.458168029785156 	 ACC 0.5 
LOSS 9.130566596984863 	 ACC 0.25 
LOSS 6.865519046783447 	 ACC 0.25 
LOSS 6.129537105560303 	 ACC 0.4 
LOSS 4.36592435836792 	 ACC 0.5 
LOSS 3.587416648864746 	 ACC 0.0 
LOSS 6.950594902038574 	 ACC 0.0 
LOSS 7.093012809753418 	 ACC 1.0 
LOSS 5.537114143371582 	 ACC 0.0 
LOSS 3.6070048809051514 	 ACC 0.25 
LOSS 6.425013065338135 	 ACC 0.0 
LOSS 6.517738342285156 	 ACC 0.14999999999999997 
LOSS 7.02492618560791 	 ACC 0.0 
LOSS 4.813831329345703 	 ACC 0.0 
LOSS 6.712579727172852 	 ACC 0.25 
LOSS 5.819921016693115 	 ACC 0.14999999999999997 
LOSS 6.777463912963867 	 ACC 0.25 
LOSS 6.7602105140686035 	 ACC 0.25 
LOSS 3.598419427871704 	 ACC 0.4 
LOSS 7.557610511779785 	 ACC 0.15 
LOSS 5.103516101837158 	 ACC 0.5 
LOSS 7.923954010009766 	 ACC 0.0 
LOSS 8.342508316040039 	 ACC 0.25 
LOSS 5.476741313934326 	 ACC 0.25 
LOSS 5.923567771911621 	 ACC 0.65 
LOSS 7.976112365722656 	 ACC 0.0 
LOSS 5.585144519805908 	 ACC 0.0 
LOSS 6.5875468254089355 	 ACC 0.25 
LOSS 6.831429481506348 	 ACC 0.0 
LOSS 8.636817932128906 	 ACC 0.0 
LOSS 7.808744430541992 	 ACC 0.0 
LOSS 3.485825777053833 	 ACC 0.0 
LOSS 6.343914985656738 	 ACC 0.25 
LOSS 4.725491523742676 	 ACC 0.5 
LOSS 6.470983505249023 	 ACC 0.25 
LOSS 5.506707191467285 	 ACC 0.4 
LOSS 6.094704627990723 	 ACC 0.15 
LOSS 7.456355571746826 	 ACC 0.25 
LOSS 5.717267036437988 	 ACC 0.5 
LOSS 6.0047607421875 	 ACC 0.15000000000000002 
LOSS 6.47531795501709 	 ACC 0.0 
LOSS 5.864730358123779 	 ACC 0.0 
LOSS 7.465081691741943 	 ACC 0.5 
LOSS 9.904179573059082 	 ACC 0.25 
LOSS 5.479295253753662 	 ACC 0.0 
LOSS 6.63551664352417 	 ACC 0.5 
LOSS 4.090315818786621 	 ACC 0.0 
LOSS 6.056397438049316 	 ACC 0.25 
LOSS 6.489232540130615 	 ACC 0.0 
LOSS 6.365766525268555 	 ACC 0.5 
LOSS 4.92026948928833 	 ACC 0.30000000000000004 
LOSS 6.071650505065918 	 ACC 0.25 
LOSS 6.07234001159668 	 ACC 0.5 
LOSS 1.427006483078003 	 ACC 0.0 
LOSS 6.649304389953613 	 ACC 0.5 
LOSS 5.087022304534912 	 ACC 0.25 
LOSS 7.137854099273682 	 ACC 0.14999999999999997 
