ITERATION 1 

PARAMS:
-> num_beams:  5 
-> no_repeat_ngram_size:  1 
-> repetition_penalty:  1.5 
-> temperature:  1.0 
-> top_k:  50 
-> top_p:  0.7 
-> max_length:  20 
 

WEIGHT DECAY: 0.0001
LOSS 10.513307571411133 	 ACC 0.0 
LOSS 7.52698278427124 	 ACC 0.55 
LOSS 9.084220886230469 	 ACC 0.0 
LOSS 6.734365940093994 	 ACC 0.5 
LOSS 6.998083114624023 	 ACC 0.5 
LOSS 4.878836154937744 	 ACC 0.14999999999999997 
LOSS 9.021345138549805 	 ACC 0.5 
LOSS 8.638728141784668 	 ACC 0.0 
LOSS 10.98395824432373 	 ACC 0.0 
LOSS 8.723041534423828 	 ACC 0.0 
LOSS 8.057779312133789 	 ACC 0.25 
LOSS 6.742239952087402 	 ACC 0.25 
LOSS 4.462419509887695 	 ACC 0.14999999999999997 
LOSS 10.202326774597168 	 ACC 0.14999999999999997 
LOSS 5.473697662353516 	 ACC 0.0 
LOSS 7.610528945922852 	 ACC 0.25 
LOSS 9.790716171264648 	 ACC 0.14999999999999997 
LOSS 6.967748641967773 	 ACC 0.25 
LOSS 7.182197093963623 	 ACC 0.5 
LOSS 7.24346923828125 	 ACC 0.0 
LOSS 4.389724254608154 	 ACC 0.25 
LOSS 8.973128318786621 	 ACC 0.25 
LOSS 10.596529006958008 	 ACC 0.15 
LOSS 5.013299942016602 	 ACC 0.5 
LOSS 11.113676071166992 	 ACC 0.5 
LOSS 8.31441593170166 	 ACC 0.4 
LOSS 5.894601821899414 	 ACC 0.25 
LOSS 4.376960277557373 	 ACC 0.25 
LOSS 1.5141340494155884 	 ACC 0.15 
LOSS 7.061397552490234 	 ACC 0.39999999999999997 
LOSS 6.401480197906494 	 ACC 0.0 
LOSS 6.465463161468506 	 ACC 0.25 
LOSS 9.848493576049805 	 ACC 0.0 
LOSS 4.632638454437256 	 ACC 0.25 
LOSS 8.001143455505371 	 ACC 0.14999999999999997 
LOSS 8.398059844970703 	 ACC 0.5 
LOSS 8.409292221069336 	 ACC 0.25 
LOSS 7.865758895874023 	 ACC 0.5 
LOSS 6.435080051422119 	 ACC 0.25 
LOSS 5.922642230987549 	 ACC 0.25 
LOSS 8.168416023254395 	 ACC 0.25 
LOSS 4.419807434082031 	 ACC 0.25 
LOSS 6.38887882232666 	 ACC 0.6499999999999999 
LOSS 4.2836480140686035 	 ACC 0.0 
LOSS 4.501712322235107 	 ACC 0.25 
LOSS 7.841338157653809 	 ACC 0.25 
LOSS 5.906282901763916 	 ACC 0.5 
LOSS 6.946049690246582 	 ACC 0.0 
LOSS 9.353489875793457 	 ACC 0.25 
LOSS 5.343296051025391 	 ACC 0.0 
LOSS 6.8935346603393555 	 ACC 0.25 
LOSS 8.762707710266113 	 ACC 0.0 
LOSS 5.622532367706299 	 ACC 0.25 
LOSS 5.90399694442749 	 ACC 0.0 
LOSS 5.776407718658447 	 ACC 0.0 
LOSS 6.622623443603516 	 ACC 0.5 
LOSS 5.505151271820068 	 ACC 0.25 
LOSS 8.286648750305176 	 ACC 0.25 
LOSS 6.08786153793335 	 ACC 0.5 
LOSS 9.403985023498535 	 ACC 0.0 
LOSS 6.0449090003967285 	 ACC 0.4 
LOSS 8.026963233947754 	 ACC 0.25 
LOSS 3.871086359024048 	 ACC 0.25 
LOSS 7.562902450561523 	 ACC 0.75 
LOSS 7.3035783767700195 	 ACC 0.0 
LOSS 7.073403835296631 	 ACC 0.14999999999999997 
LOSS 6.341853141784668 	 ACC 0.0 
LOSS 9.013544082641602 	 ACC 0.15000000000000002 
LOSS 6.2676167488098145 	 ACC 0.14999999999999997 
LOSS 6.074954986572266 	 ACC 0.5 
LOSS 8.121912002563477 	 ACC 0.14999999999999997 
LOSS 6.447868824005127 	 ACC 0.5 
LOSS 5.90059232711792 	 ACC 0.0 
LOSS 6.3028950691223145 	 ACC 0.0 
LOSS 5.761839866638184 	 ACC 0.25 
LOSS 8.909124374389648 	 ACC 0.0 
LOSS 5.464687347412109 	 ACC 0.25 
LOSS 7.321386337280273 	 ACC 0.25 
LOSS 5.562077522277832 	 ACC 0.0 
LOSS 5.76842737197876 	 ACC 0.0 
LOSS 5.588503837585449 	 ACC 0.0 
LOSS 3.567380666732788 	 ACC 0.0 
